b'1.',"b'The Law of Contract (Amendment) Bill, 2019'",b'Waititu Francis Munyua',b'No. 1 of 2019',b'28/01/19',b'10/02/19',b'3',b'13/02/19',b'26/6/20193/7/2019Committee on 18/09/19',b'18/09/19',b'Passed',b'-'
b'1',"b'The Climate Change Bill, 2014'",b'\xc2\xa0W.K. Ottichilo',b'NA Bill No. 1 of 2014',b'20/01/2014',b'03/02/2014',b'\xc2\xa03',b' 06/03/2014',b'23/07/201430/07/201431/07/2014Committeestage04/03/201524/02/201601/03/2016(Senateamendments)',b' 05/03/2015',b'Mediated version of the Bill PASSED on 20/4/2016',b'\xc2\xa0-'
b'2',"b'The Kenya National AIDS Authority Bill, 2014'",b'Jared Odhiambo Opiyo',b'\xc2\xa0',b'21/02/2014',b'06/03/2104',b'10',b'06/03/2014',b'30/07/2014 31/07/2014Committee StagePending',b'-',b'-',b'-'
b'3',"b'The Pharmacy and Poisons (Amendment) Bill, 2014'","b'Robert Pukose, Member of Parliament'",b'- ',b'21/02/2014',b'06/03/2014',b'11',b'12/03/2014',b'-',b'-',b'-',b'-'
b'4',"b'The Private Security Regulations Bill, 2014'","b'Aden Duale, Leader of the Majority Party'",b'NA Bill No. 4 of 2014',b'03/03/2014',b'17/03/2014',b'18',b'19/03/2014',b'30/06/2015 01/07/2015Committee State Pending',b'27/04/2016',b'Passed',b'-'
b'5',"b'The Business Registration Service Bill, 2014'","b'Aden Duale, Leader of the Majority Party'",b'- ',b'03/03/2014',b'17/03/2014',b'21',b'19/03/2014',b'-',b'-',b'-',b'-'
b'6',"b'The Scrap Metal Bill, 2014'","b'Aden Duale, Leader of the Majority Party'",b'- ',b'03/03/214',b'17/03/2014',b'22',b'26/03/2014',b' 01/07/2014 02/07/201415/07/201416/07/2014',b'\xc2\xa0-',b'-',b'\xc2\xa0-'
b'7',"b'The Prohibition of Anti-Personnel Mines Bill, 2014'","b'Aden Duale, Leader of the Majority Party'",b'- ',b'03/03/2014',b'17/03/2014',b'23',b'26/03/2014',b'23/04/2015 28/04/2015Committee StagePending',b'-',b'-',b'-'
b'8',"b'The Water Bill, 2014'","b'Aden Duale, Leader of the Majority Party'",b'NA Bill No.8 of 2014',b'17/03/2014',b'31/03/2014',b'27',b'22/04/2014',b'23/10/2014 30/10/201411/11/201412/11/2014Committeestage02/07/2015',b'07/07/2015',"b'Passed;Referred back from the Senate via a Message on 12th April, 2016'",b'-'
b'9',"b'The Mining Bill, 2014'","b'Aden Duale, Leader of the Majority Party'",b'NA Bill No. 9 of 2014',b'17/03/2014',b'31/03/2014',b'28',b'22/04/2014',b'16/07/2014 17/07/201422/07/201424/07/201405/08/2014Committee Stage28/10/2014 22/10/2015',b'29/10/2014',b'Passed:Mediatedversion ofthe BillPASSEDon15/03/2016',b'22/04/2016'
b'10',"b'The Insolvency Bill, 2014'","b'Aden Duale, Leader of the Majority Party'",b'- ',b'17/03/2014',b'31/03/2014',b'29',b'30/03/2014',b'22/10/2014 23/10/2014',b'Bill withdrawn on 18/02/2015',b'- ',b'-'
b'11',"b'The Supplementary Appropriation Bill, 2014'","b'Mutava Musyimi, Chairperson, Budget and Appropriations Committee'",b'- ',b'21/03/2014',b'25/03/2014',b'31',b'25/03/2014',b'25/03/2014',b'25/03/2014',b'- ',b'-'
b'12',"b'The Order of Precedence Bill, 2014'","b'Adan Keynan, Member of Parliament'",b'NA Bill No. 11 of 2014',b'21/03/2014',b'04/04/2014',b'32',b'23/04/2014',b'30/07/2014 13/08/2014Committee State18/02/2015',b'18/02/2015',b'Passed;Title ofBillamendedas shown;Forwarded to theSenate forconsideration',b'-'
b'13',"b'The Companies Bill, 2014'",b'-',b'-',b'21/03/2014',b'03/04/2014',b'34',b'30/03/2014',b'(Bill withdrawn on 18/02/2015)',b'-',b'-',b'-'
b'14',"b'The Public Finance Management (Amendment) Bill, 2014'","b'Aden Duale, Leader of the Majority Party'",b'- ',b'26/03/2014',b'08/04/2014',b'35',b'-',b'24/04/2014',b'29/04/2014',b'- ',b'-'
b'15',"b'The Alcoholic Drinks Control (Amendment) Bill, 2014'","b""Kimani Ichung'wah, Member of Parliament""",b'- ',b'01/04/2014',b'14/04/2014',b'37',b'23/04/2014',b'04/06/2014 05/06/2014Committee Stage26/11/201430/04/2015',b'30/04/2015',b'- ',b'14/05/2015 Passed'
b'16',"b'The Fisheries Management and Development Bill, 2014'","b'Aden Duale, Leader of Majority'",b'NA Bill No. 20 of 2014',b'04/04/2014',b'17/04/2014',b'45',b'03/06/2014',b'23/04/2015 09/06/201510/06/2015Committee StagePending',b'30/09/2015',b'Passed;forwarded toSenate for consideration',b'-'
b'17',"b'The Kenya AIDS Control Authority Bill, 2014'","b'Rachael Nyamai, Chairperson, Committee on Health'",b'- ',b'11/04/2014',b'25/04/2014',b'49',b'-',b'-',b'-',b'- ',b'-'
b'18',"b'The Diabetes Management Bill, 2014'","b'Rachel Nyamai, Chairperson Committee on Health'",b'- ',b'22/02/2014',b'05/05/2014',b'58',b'03/06/2014',b'-',b'-',b'- ',b'-'
b'19',"b'The Traditional Health Practitioners Bill, 2014'","b'Rachel Nyamai, Chairperson Committee on Health'",b'- ',b'22/02/2014',b'05/05/2014',b'59',b'03/06/2014',b'-',b'-',b'- ',b'-'
b'20',"b'The Securities and Investment Analysts Bill, 2014'","b'Benjamin Langat, Chairperson, Departmental Committee on Finance, Planning & Trade'",b'- ',b'22/04/2014',b'05/05/2014',b'60',b'03/06/2014',b'14/10/2014 21/10/201422/10/2014Committee StagePending01/07/201502/07/2015',b'07/07/2015',b'- ',b'-'
b'21',"b'The Mental Health Bill, 2014'","b'Joseph Lekuton, Member of the National Assembly'",b'- ',b'22/04/2014',b'05/05/2014',b'61',b'03/06/2014',b'-',b'-',b'- ',b'-'
b'22',"b'The Transfer of Prisoners Bill, 2014'","b'Aden Duale, Leader of the Majority Party'",b'- ',b'16/05/2014',b'30/05/2014',b'68',b'19/06/2014',b'19/06/2014',b'10/06/2015 11/06/2015Committee StagePending',b'- ',b'-'
b'23',"b'The Statute Law Miscellaneous Bill, 2014'","b'Aden Duale, Leader of the Majority Party'",b'- ',b'30/05/204',b'13/06/2014',b'75',b'17/06/2014',b'17/06/2014',b'13/08/2014 Passed',b'- ',b'-'
b'24',"b'The Finance Bill, 2014'","b'Benjamin Langat, Chairperson, Committee on Finance, Planning and Trade'",b'- ',b'12/06/2014',b'26/06/2014',b'87',b'26/06/2014',b'26/06/2014 12/08/201413/08/2014',b'28/08/2014',b'- ',b'-'
b'25',"b'The Supplementary Appropriation (No. 2) Bill, 2014'","b'Mutava Musyimi, Chairperson, Budget and Appropriation Committee'",b'- ',b'23/06/2014',b'25/06/2014',b'92',b'25/06/2014',b'25/06/2014',b'25/06/2014',b'- ',b'25/06/2014 Passed'
b'26',"b'The Appropriation Bill, 2014'","b'Mutava Musyimi, Chairperson, Budget and Appropriation Committee'",b'- ',b'24/06/2014',b'25/06/2014',b'93',b'25/06/2014',b'25/06/2014 26/06/2014',b'26/06/2014',b'- ',b'-'
b'27',"b'The Central Bank (Amendment) Bill, 2014'","b'Kabando wa Kabando, Member of Parliament'",b'\xc2\xa0',b'21/07/2014',b'03/08/2014',b'110',b'13/08/2014',b'26/11/2014 03/12/201404/12/2014',b'18/02/2015',b'- ',b'Passed'
b'28',"b'The Public Service (Values and Principles) Bill, 2014'","b'Aden Duale, Leader of the Majority Party, National Assembly'",b'- ',b'25/07/2014',b'08/08/2014',b'112',b'13/08/2014',b'12/11/2014 13/11/2014',b'26/11/2014 23/04/2015',b'- ',b'-'
b'29',"b'The Persons Deprived of Liberty Bill, 2014'","b'Aden Duale, Leader of the Majority Party, National Assembly'",b'- ',b'25/07/2014',b'08/08/2014',b'113',b'13/08/2014',b'13/11/2014 18/11/2014',b'-',b'- ',b'-'
b'30',"b'The Environmental Management and Co-ordination (Amendment) Bill, 2014'","b'Aden Duale, Leader of the Majority Party, National Assembly'",b'- ',b'25/07/2014',b'08/08/2014',b'114',b'13/08/2014',b'20/11/2014 25/11/2014Committee Stage04/12/201423/04/2015',b'04/12/2014 23/04/2015Passed',b'- ',b'26/06/2015 Passed'
b'31',"b'The Traffic (Amendment) Bill, 2014'","b'Joseph Lekuton, Member of Parliament'",b'NA Bill No. 33 of 2014',b'01/08/2014',b'14/08/2014',b'117',b'27/08/2014',b'10/12/2014 11/12/2014 Committee stage: Pending',b'-',b'-',b'-'
b'32',"b'The Parliamentary Powers and Privileges Bill, 2014'","b'Adan Keynan, Member of Parliament'",b'NA Bill No. 35 of 2014',b'11/08/2014',b'25/08/2014',b'125',b'26/08/2014',"b'26/08/2015; 27/08/2015. Committee stage: 14/10/2015; Pursuant to SO 49(2)(a), clauses 34 & 37 recommitted on 21/10/2015 22/10/2015'",b'Question of 3rd Reading deferred on 15/10/2015 (pursuant to SO 139)3rd Reading done on: 22/10/2015',b'Passed: forwarded to the Senate for consideration',b'-'
b'33',"b'The Basic Education (Amendment) Bill, 2014'","b'Julius Melly, Ag. Chairperson, Committee on Education, Research and Technology'",b'NA Bill No. 38 of 2014',b'29/08/2014',b'13/09/2014',b'131',b'14/10/2014',b'18/11/2015 19/11/2015Committeestage24/02/2016',b'25/02/2016',b'Passed;forwardedto theSenate forconsideration on 17/3/2016',b'-'
b'34',"b'The In-Vitro Fertilization Bill, 2014'","b'Millie Odhiambo Mabona, Member of Parliament'",b'NA Bill No. 36 of 2014',b'29/08/2014',b'13/09/2014',b'132',b'14/10/2014',b'15/04/2015 22/04/2015Committee Stage24/02/201609/03/2016',b'10/03/2016',b'Passed;title ofBillamendedas shown; forwarded to Senate for consideration on 20/4/2016',b'- '
b'35',"b'The Pharmacy Practitioners Bill, 2014'","b'Rachel Nyamai, Chairperson, National Assembly Committee on Health'",b'- ',b'29/08/2014',b'13/09/2014',b'133',b'14/10/2014',b'-',b'-',b'\xc2\xa0',b'-'
b'36',"b'The Public Audit Bill, 2014'","b'Aden Duale, Leader of the Majority Party, National Assembly'",b'- ',b'08/12/2014',b'10/12/2014',b'162',b'10/12/2014',b'11/12/2015 12/12/201518/12/2015',b'02/04/2015 26/05/201527/05/2015',b'\xc2\xa0',b'18/06/2015 Passed'
b'37',"b'The Security Laws (Amendment) Bill, 2014'","b'Asman Kamama, Chairman, Administration and National Security'",b'- ',b'08/12/2014',b'10/12/2014',b'163',b'-',b'18/12/2014 19/12/201424/12/201425/02/2014',b'-',b'\xc2\xa0',b'-'
b'38',"b'The Public Procurement and Asset Disposal Bill, 2014'","b'Hon. Aden Duale, Leader of the Majority Party, National Assembly.'",b'- ',b'08/12/2014',b'10/12/2014',b'164',b'10/12/2014',b'18/02/2015 19/02/201524/02/201525/02/2015Committee Stage28/04/201529/04/2015',b'30/04/2015 26/05/2015',b'\xc2\xa0',b'18/06/2015 Passed'
b'1',"b' The Supplementary Appropriation Bill, 2013'","b'Robinson Njeru Githae, Minister for Finance'",b'-',b'\xc2\xa008/01/2013',b'\xc2\xa009/01/2013',b'2',b'\xc2\xa009/01/2013',b'\xc2\xa009/01/2013',b'\xc2\xa009/01/2013',b'-',b'\xc2\xa0-'
b'2',"b' The Division of Revenue Bill, 2013'","b'Adan Duale, Member of Parliament'",b'-',b'\xc2\xa029/04/2013',b'\xc2\xa030/04/2013',b'63',b'\xc2\xa030/04/2013',b'\xc2\xa008/05/2013',b'\xc2\xa009/05/2013',b'-',b'\xc2\xa0Supp. No. 77'
b'3',"b' The Finance Bill, 2013'","b'Benjamin Langat, Chairperson Committee on Finance, Planning and Trade.'",b'-',b'\xc2\xa018/06/2013',b'\xc2\xa001/07/2013',b'81',b'\xc2\xa002/07/2013',b'19/09/201324/09/201325/09/2013',b'\xc2\xa025/09/2013',b'-',b'\xc2\xa0Supp. No 143'
b'4',"b'The Microfinance (Amendment) Bill, 2013'","b'Benjamin Langat, Chairperson Committee on Finance, Planning and Trade.'",b'-',b'18/06/2013',b'26/06/2013',b'82',b'27/06/2013',b'17/09/201316/10/2013',b'16/10/2013',b'-',b'Supp. No. 169'
b'5',"b' The Kenya Deposit Insurance (Amendment) Bill, 2013'","b'Benjamin Langat, Chairperson, Committee on Finance, Planning and Trade'",b'-',b'\xc2\xa018/06/2013',b'\xc2\xa026/06/2013',b'83',b'\xc2\xa027/06/2013',b'17/09/201318/09/201319/09/201309/10/2013',b'\xc2\xa009/10/2013',b'-',b'Supp. No. 167'
b'6',"b' The Insurance (Amendment) Bill, 2013'","b'Benjamin Langat, Chairperson, Committee on Finance, Planning and Trade'",b'-',b'\xc2\xa018/06/2013',b'\xc2\xa026/06/2013',b'84',b'\xc2\xa027/06/2013',b'01/10/201309/10/201310/10/201317/10/2013',b'\xc2\xa017/10/2013',b'-',b'\xc2\xa0Re-submitted for further review via Presidential Memorandum on 11/02/2014'
b'7',"b' The Insurance (Motor Vehicle Third Party Risks)(Amendment) Bill, 2013'","b'Benjamin Langat, Chairperson, Committee on Finance, Planning and Trade '",b'-',b'\xc2\xa018/06/2013',b'\xc2\xa026/06/2013',b'85',b'\xc2\xa027/06/2013',b'20/11/201321/11/201305/12/2013',b'05/12/2013',b'-',b'\xc2\xa0Supp. No. 187'
b'8',"b' The Tax Appeals Tribunal Bill, 2013'","b'Benjamin Langat, Chairperson, Committee on Finance, Planning and Trade'",b'-',b'\xc2\xa018/06/2013',b'\xc2\xa026/06/2013',b'86',b'\xc2\xa027/06/2013',b'10/10/201315/10/201316/10/201323/10/201324/10/2013\xc2\xa0',b'\xc2\xa024/10/2013',b'-',b'\xc2\xa0-'
b'9',"b'The Value Added Tax Bill, 2013'","b'Benjamin Langat, Chairperson, Committee on Finance, Planning and Trade'",b'-',b'18/06/2013',b'01/07/2013',b'88',b'02/072013',b'25/07/201330/07/201331/07/201306/08/2013',b'01.08.1306.08.13',b'-',b'Supp. No. 119'
b'10',"b' The Supplementary Appropriation Bill, (No 2), 2013'","b'Mutava Musyimi, Chairperson, Budget and Appropriations Committee'",b'-',b'\xc2\xa021/06/2013',b'\xc2\xa024/06/2013',b'91',b'\xc2\xa025/06/2013',b'\xc2\xa025/06/2013',b'\xc2\xa025/06/2013',b'-',b'\xc2\xa0Supp. No. 93'
b'11',"b' The Appropriation Bill, 2013 '","b'Mutava Musyimi, Chairperson, Budget and Appropriations Committee'",b'-',b'\xc2\xa025/06/2013',b'\xc2\xa026/06/2013',b'92',b'\xc2\xa026/06/2013',b'\xc2\xa026/06/2013 27/06/2013',b'\xc2\xa027/06/2013',b'-',b'\xc2\xa0Supp. No. 94'
b'12',"b'The Matrimonial Property Bill, 2013'","b'Samuel Chepkonga, Chairperson, Committee on Justice and Legal Affairs.'",b'-',b'05/07/2013',b'18/07/2013',b'96',b'25/07/2013',b'17/10/201323/10/201312/11/2013',b'12/11/2013',b'-',b'Supp. No. 183'
b'13',"b'The Marriage Bill, 2013'","b'Samuel chepkonga, Chairperson, Committee on Justice and Legal Affairs.'",b'-',b'05/07/2013',b'16/07/2013',b'97',b'16/07/2013',b'18/02/201420/02/201426/02/2014',b'-',b'-',b'-'
b'14',"b'The Election Campaign Financing Bill, 2013'","b'Samuel chepkonga, Chairperson, Committee on Justice and Legal Affairs.'",b'-',b'05/07/2013',b'16/07/2013',b'98',b'16/07/2013',b'24/10/201330/10/201307/11/201312/11/201313/11/201328/11/201303/12/2013',b'03/12/2013',b'-',b'Supp. No. 176'
b'15',"b'The Constitution of Kenya (Amendment) Bill, 2013'","b'Samuel Chepkonga, Chairperson, Committee on Justice and Legal Affairs.'",b'-',b'12/072013',b'26/07/2013',b'100A',b'01/08/2013',b'26/02/201405/03/2014',b'-',b'-',b'-'
b'16',"b'The Agriculture, Fisheries and Food (Amendment) Bill, 2013 '","b'Ayub Savula, Chairperson, Agriculture, Livestock and Cooperatives.'",b'-',b'12/072013',b'17/07/2013',b'101',b'17/07/2013',b'17/07/2013 18/07/2013 \xc2\xa0',b'18/07/2013',b'-',b'Supp. No. 25'
b'17',"b'The National Police Service Commission (Amendment) Bill, 2013'","b'Aden Dualle, Leader of the Majority Party.'",b'-',b'16/07/2013',b'23/07/2013',b'103',b'23/07/2013',b'25/09/201312/11/201313/11/201327/11/201305/12/2013',b'31/10/201327/02/201430/04/2014',b'-',b'-'
b'18',"b'The Kenya Information and Communications Amendment Bill, 2013'","b'Aden Dualle, Leader of the Majority Party.'",b'',b'22/07/2013',b'05/08/2013',b'105',b'18/09/2013',b'15/10/201316/10/201331/10/2013',b'31/10/201305/12/2013',b'-',b'Supp. No. 169A'
b'19',"b'The Media Council Bill, 2013'","b'Aden Dualle, Leader of the Majority Party.'",b'-',b'22/07/2013',b'05/08/2013',b'106',b'18/09/2013',b'13/11/201314/11/201319/11/201305/12/2013',b'05/12/2013',b'-',b'Supp. No. 180'
b'20',"b'The Wildlife Conservation and Management Bill, 2013'","b'Aden Dualle, Leader of the Majority Party.'",b'-',b'22/07/2013',b'05/08/2013',b'107',b'18/09/2013',b'20/11/201321/11/201326/11/201303/12/201304/12/2013',b'04/12/2013',b'-',b'Supp. No. 181'
b'21',"b'The Truth Justice and Reconciliation Amendment Bill, 2013'","b'Samuel Chepkonga, Chairperson, Committee on Justice and Legal Affairs.'",b'-',b'22/07/2013',b'05/08/2013',b'108',b'06/08/2013',b'27/11/201328/11/201305/12/2013',b'05/12/2013',b'-',b'Supp. No 178'
b'22',"b'The National Flag Emblems and Names Amendment Bill, 2013'","b'Adan Keynan, Member of Parliament.'",b'-',b'26/07/2013',b'09/08/2013',b'110',b'18/09/2013',b'12/03/201405/03/201426/02/2014',b'05/03/201412/03/201426/03/2014',b'-',b'-'
b'23',"b'The Constituencies Development Fund (Amendment) Bill, 2013'","b'Moses Lessonet, Chairperson, Constituency Development Fund Committee'",b'-',b'02/08/2013',b'06/08/2013',b'113',b'06/08/2013',b'06/08/2013',b'06/08/2013',b'-',b'Supp. No. 45'
b'24',"b'The Law Society of Kenya Bill, 2013 '","b'Aden Dualle, Leader of the Majority Party'",b'-',b'06/08/2013',b'20/08/2013',b'114',b'24/09/2013',b'13/02/201418/02/201420/02/2014',b'-',b'-',b'-'
b'25',"b'Constitution of Kenya (Amendment)(No 2) Bill, 2013'","b'Lati Lelelit, Member of Parliament'",b'NA Bill No. 33 of 2013',b'06/08/2013',b'20/08/2013',b'115',b'17/09/2013',b'26/02/201405/03/201419/08/2014 Committee stage; 28/8/2015',b'28/8/2015 (first attempt) 1/10/2015 (last attempt)',b'Passed forwarded to the Senate for consideration',b'-'
b'26',"b'The National Social Security Fund Bill, 2013'","b'Aden Dualle, Leader of the Majority Party'",b'-',b'16/08/2013',b'30/08/2013',b'120',b'24/09/2013',b'21/11/201326/11/201304/12/2013',b'04/12/2013',b'-',b'Supp. No. 179'
b'27',"b'The Protection Against Domestic Violence Bill, 2013'","b'Samuel Chepkonga, Chairperson, Committee on Justice and Legal Affairs'",b'-',b'11/10/2013',b'25/10/2013',b'136',b'30/10/2013',b'19/08/201420/08/201421/08/2014',b'24/03/2015',b'-',b'-'
b'28',"b'The Kenya Qualifications Framework Bill, 2013'","b'Aden Duale, Leader of the Majority Party'",b'-',b'11/10/2013',b'-',b'137',b'-',b'11/03/2014',b'-',b'-',b'-'
b'29',"b'The Kenya Heroes Bill, 2013'","b'Aden Duale, Leader of Majority Party'",b'-',b'11/10/2013',b'25/10/2013',b'138',b'30/10/2013',b'27/11/2013',b'-',b'-',b'-'
b'30',"b'The Public Procurement and Disposal (Amendment) Bill, 2013'","b'Johnson Sakaja, Member of Parliament'",b'-',b'18/10/2013',b'01/11/2013',b'139',b'19/11/2013',b'12/02/201419/02/201425/02/2014',b'23/04/201424/04/201405/03/2015',b'-',b'-'
b'31',"b'The Statute Law (Miscellaneous Amendments) Bill, 2013'","b'Aden Duale, Leader of the Majority Party'",b'-',b'30/10/2013',b'12/11/2013',b'146',b'13/11/2013',b'27/11/201328/11/201304/12/2013',b'Motion Lost',b'-',b'-'
b'32',"b'The Statute Law (Miscellaneous Amendments)(No.2) Bill, 2013'","b'Aden Duale, Leader of the Majority Party'",b'',b'30/10/2013',b'12/11/2013',b'147',b'13/11/2013',b'13/03/201418/03/201419/03/201403/06/201404/06/201405/06/2014Committee stage22/07/201429/09/201530/09/2015',b'23/07/2014',b'Mediated version of the Bill PASSED on 29/03/2016',b'22/4/2016'
b'33',"b'The Military Veterans Bill, 2013'","b'Adan Keynan, Member of Parliament'",b'-',b'01/11/2013',b'14/11/2013',b'148',b'13/11/2013',b'04/12/2014 Committee stage: Pending [referred back to the Budget Committee by the Speaker]',b'-',b'-',b'-'
b'34',"b'The Parliamentary Society of Kenya Bill, 2013'","b'Adan Keynan, Member of Parliament'",b'',b'01/11/2013',b'14/11/2013',b'149',b'21/11/2013',b'26/11/201427/11/2014Committeestage:07/10/2015',b'08/10/2015',b'-',b'Passed;forwardedto theSenate for consideration'
b'35',"b'The Fertilizers and Animal Foodstuffs (Amendment) Bill, 2013'","b'Chris Wamalwa, Member of Parliament'",b'',b'01/11/2013',b'14/11/2013',b'150',b'19/11/2013',b'02/04/201430/04/2014',b'18/06/201419/06/2014',b'-',b'-'
b'36',"b'The Value Added Tax (Amendment) Bill, 2013'","b'John Mbadi, Member of Parliament'",b'',b'08/11/2013',b'22/11/2013',b'153',b'-',b'-',b'-',b'-',b'-'
b'37',"b'The Counsellors, Psychologists and Psychotherapists Bill, 2013'","b'Wafula Wamunyinyi, Member of Parliament'",b'',b'08/11/2013',b'22/11/2013',b'155',b'04/12/2013',b'30/04/2014',b'02/07/2014',b'-',b'-'
b'38',"b'The Physiotherapists Bill, 2013'","b'Leonard Kipkosgei Sang, Member of Parliament'",b'',b'15/11/2013',b'29/11/2013',b'158',b'04/12/2013',b'30/04/201407/06/201411/06/2014',b'-',b'-',b'-'
b'39',"b'The Victim Protection Bill, 2013'","b'Millie Odhiambo-Mabona, Member of Parliament'",b'',b'15/11/2013',b'29/11/2013',b'159',b'26/02/2014',b'30/04/201404/06/201402/07/201416/07/201417/07/201422/07/2014',b'-',b'-',b'-'
b'40',"b'The National Drought Management Authority Bill, 2013'","b'Francis Chachu Ganya, Member of Parliament'",b'NA Bill No. 42 of 2013',b'15/11/2013',b'28/11/2013',b'160',b'26/02/2014',b'25/06/201423/07/201424/07/2014Committeestage12/11/201422/10/2015',b'12/11/2014',b'Mediation Committeeversion of the Bill PASSEDon 17/02/2016',b'-'
b'41',"b'The Persons with Disabilities (Amendment) Bill, 2013'","b'Wanjiku Muhia, Member of Parliament'",b'NA Bill No. 43 of 2013',b'22/11/2013',b'05/12/2013',b'165',b'19/02/2013',b'04/06/201418/06/201425/06/201426/06/2014Committeestage:11/03/2015',b'11/03/2015',b'Passed;forwardedto the Senate for consideration',b'-'
b'Bill',b'Sponsor',b'KNA #',b'Dated',b'Maturity',b'GAZ #',b'DATECIRC',b'1stREAD',b'2ndREAD',b'3rdREAD',b'ASSENT'
b'The Constitution of Kenya Review Bill',b'JCA',b'1',b'20/3/07',b'2/4/07',b'22',b'21/3/07',b'4/4/07',b'3/5/07 24/5/07',b'\xc2\xa0',b'\xc2\xa0'
b'The Constitution of Kenya (Amendment) Bill',b'JCA',b'2',b'20/3/07',b'2/4/07',b'23',b'21/3/07',b'4/4/07',b'\xc2\xa0',b'\xc2\xa0',b'\xc2\xa0'
b'The Political Parties Bill',b'JCA',b'3',b'20/3/07',b'2/4/07',b'24',b'21/3/07',b'4/4/07',"b'18, 19, 25, 26/4/07 27/9/07'",b'27/9/07',b'Pres Memo 15/10/07'
b'The Supplies Practitioners Management Bill',b'Ojiambo',b'4',b'20/3/07',b'2/4/07',b'25',b'21/3/07',b'4/4/07',b'17/4/07 18/4/07',b'26/7/07',b'\xc2\xa0'
b'The Nutritionists and Dieticians Bill',b'Ojiambo',b'5',b'20/3/07',b'2/4/07',b'26',b'21/3/07',b'4/4/07',b'17/4/07 18/4/07 11/10/07',b'11/10/07',b'\xc2\xa0'
b'The Fiscal Management Bill',b'Aringo',b'6',b'20/3/07',b'2/4/07',b'27',b'21/3/07',b'4/4/07',b'10/5/07 15/5/07',b'\xc2\xa0',b'\xc2\xa0'
b'The Employment Bill',b'Labour',b'7',b'30/3/07',b'13/4/07',b'32',b'12/4/07',b'18/4/07',"b'8/5/07<br/>9, 10/5/07'",b'16/10/07',b'\xc2\xa0'
b'The Labour Relations Bill',b'Labour',b'8',b'30/3/07',b'13/4/07',b'33',b'12/4/07',b'18/4/07',b'10/5/07 11/10/07',b'11/10/07',b'\xc2\xa0'
b'The Labour Institutions Bill',b'Labour',b'9',b'30/3/07',b'13/4/07',b'34',b'24/4/07',b'9/5/07',"b'17,22/5/07 20/9/07 25/9/07'",b'25/9/07',b'\xc2\xa0'
b'The Occupational Safety and Health Bill',b'Labour',b'10',b'5/4/07',b'19/4/07',b'35',b'24/4/07',b'9/5/07',b'22/5/07',b'\xc2\xa0',b'\xc2\xa0'
b'The Work Injury Benefits Bill',b'Labour',b'11',b'5/4/07',b'19/4/07',b'36',b'24/4/07',b'9/5/07',b'22/5/07 11/10/07',b'11/10/07',b'\xc2\xa0'
b'The Proceeds of Crime and Anti-Money Laundering Bill',b'Finance',b'12',b'5/4/07',b'19/4/07',b'37',b'24/4/07',b'16/5/07',b'19/9/07',b'\xc2\xa0',"b'1st January, 2010'"
b'The Media Bill',b'Info/Comm',b'13',b'13/4/07',b'27/4/07',b'39',b'3/5/07',b'16/5/07',b'3/7/07  5/7/07 24/7/07',b'2/8/07',b'Pres. Memo Passed 30/8/07'
b'The Squatters Settlement Bill',b'G.G.Kariuki',b'14',b'19/4/07',b'3/5/07',b'40',b'27/4/07',b'16/5/07',b'19/7/07 26/7/07',b'\xc2\xa0',b'\xc2\xa0'
b'The Community and Social Enterprises Capital Development Fund Bill',b'Ojiambo',b'15',b'20/4/07',b'4/5/07',b'42',b'8/5/07',b'16/5/07',b'\xc2\xa0',b'\xc2\xa0',b'\xc2\xa0'
b'The Tobacco Control Bill',b'Health',b'16',b'20/4/07',b'4/5/07',b'43',b'10/5/07',b'17/5/07',"b'5, 19/7/07'",b'9/8/07',b'27/9/07'
b'The Freedom of Information Bill',b'Nyong?o',b'17',b'27/4/07',b'11/5/07',b'44',b'10/5/07',b'17/5/07',b'\xc2\xa0',b'\xc2\xa0',b'\xc2\xa0'
b'The Supplementary Appropriations Bill',b'Finance',b'18',b'7/5/07',b'14/5/07',b'47',b'10/5/07',b'15/5/07',b'15/5/071',b'15/5/071',b'\xc2\xa0'
b'The Kenya Roads Bill',b'Works',b'19',b'7/5/07',b'21/ 5/07',b'48',b'10/5/07',b'23/5/07',"b'12,13/6/07'",b'4/7/07',b'\xc2\xa0'
b'The Statute Law (Miscellaneous Amendments) Bill',b'AG',b'20',b'18/5/07',b'1/ 6/07',b'52',b'30/5/07',b'3/7/07',"b'20/7/07<br/>                                        9/8/07 23/8/07 30/8/07<br/>                     6/9/07 12,13/9/07'",b'13/9/07',b'Pres. Memo Passed with amendments 4/10/07 Assented to on 11/10/07'
b'The Finance Bill',b'Finance',b'21',b'14/6/07',b'28/ 6/07',b'60',b'14/6/07',b'4/7/07',b'13/9/07 18/9/07 4/10/07',b'16/10/07',b'\xc2\xa0'
b'Kenya Communication (Amendments) Bill',b'Infocom',b'22',b'17/5/07',b'31/ 5/07',b'61',b'16/6/07',b'4/7/07',b'30/8/07 Withdrawn',b'\xc2\xa0',b'\xc2\xa0'
b'The Internal Loans (Amendment) Bill',b'Finance',b'23',b'14/6/07',b'28/ 6/07',b'62',b'14/6/07',b'4/7/07',b'18/9/07 2/10/07',b'2/10/07',b'11/10/07'
b'The Licensing Laws (Repeal and Amendment) Bill',b'Finance',b'24',b'14/6/07',b'28/ 6/07',b'63',b'14/6/07',b'4/7/07',b'18/9/07 19/9/07 2/10/07',b'2/10/07',b'11/10/07'
